Dimension,Indicator,Value,Year,Quality,Source,Source URL,Notes
food,"Food insecurity","~93,000 residents at risk (~40,900 households)",2019,Medium,"Blum Center / UCSC & Second Harvest","https://news.ucsc.edu/2019/11/blum-foodinsecurity.html","Households can purchase ~54% of needed meals. 70K+ served monthly by Second Harvest. 2025 federal cuts pushing to 100K/month."
health,Uninsured rate,5.31%,2023,High,"Census ACS via Data USA","https://datausa.io/profile/geo/santa-cruz-county-ca/","Down from 5.42% in 2022. Median age 39.6. 21,000 could lose coverage by 2028 due to Medicaid cuts."
education,HS graduation rate,Varies by district (SC High 97% vs PVUSD 79%),2024,High,"Public School Review; CDE","https://www.publicschoolreview.com/california/watsonville/high","Massive north-south gap. COE district rate: 60%. PVUSD: 17% math / 27% reading proficiency."
income & work,Median household income,$109,266,2023,High,"Census ACS via Data USA","https://datausa.io/profile/geo/santa-cruz-county-ca/","County median. Significant variation: SC city $111K vs Watsonville $75K."
income & work,ALICE households,Data available on DataShare SCC,2024,Low,"DataShare SCC / United Way","https://www.datasharescc.org/indicators/index/view?indicatorId=8481&localeId=281","Need to access full indicator for percentage. ALICE = above poverty but below basic cost of living."
housing,Cost burden,"Rents up 24.4% since 2019; severe burden county-wide",2024,Medium,"CHPC Housing Needs Report","https://chpc.net/wp-content/uploads/2024/05/Santa-Cruz_Housing_Report.pdf","60% renters in SC city. PIT count: 1,850 (2024) down to 1,473 (2025). Highest per-capita homeless rate nationally."
peace & justice,Crime rate,"SC city: 6.3 violent/1K; county data needed",2024,Medium,"NeighborhoodScout","https://www.neighborhoodscout.com/ca/santa-cruz/crime","County-level aggregation needed. SC city well-documented. Unincorporated area data from Sheriff's office."
political voice,Voter turnout,"81.8% county-wide (Nov 2024)",2024,High,"CA Secretary of State","https://admin.cdn.sos.ca.gov/elections/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf","136,505 votes. Down from 86.1% in 2020. Primary: 46% (4th highest in CA)."
social equity,Gini coefficient,0.5009,2021,High,"Census ACS B19083","https://www.datasharescc.org/indicators/index/view?indicatorId=288&localeId=281","At threshold of severe inequality. Applies county-wide."
gender equality,Gender pay ratio,0.85,2024,Medium,"CA Civil Rights Dept; DataShare SCC Women's Wellbeing","https://www.datasharescc.org/tiles/index/display?alias=Womens_Wellbeing_SCCounty2024","County-level. SC city passed equal pay in sports. CEDAW resolution Feb 2024."
networks,Broadband,"C- grade; ~16,000 households lack adequate internet",2024,Medium,"CA Broadband Report Card; Equal Access SC","https://equalaccesssantacruz.com/","$500K county grant to Cruzio. $10M state grant for rural fiber. PVUSD partnership."
